Code,Species,Interaction,Year,Date,Locality,Habitat,Provincias,Latitude,Longitud,Altitude (m),Collectors (leg.),sex,Intertegular_distance (mm),Est.Weight,CI_Lower,CI_Upper
ZEB240713,Bombus pascuorum,Scrophularia auriculata,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,4.06,64.21072835489902,36.10102571347337,112.1463495921426
ZEB240716,Bombus pascuorum,Scrophularia auriculata,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,3.41,43.05237943366241,24.673008909585853,74.77457053931867
ZEB240717,Bombus pascuorum,Rubus sp.,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,3.92,59.18326749121613,33.69181529944899,104.52377130831663
ZEB240720,Bombus pascuorum,Rubus sp.,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,2.8,28.06737201823035,15.948834502815734,49.22630353348499
ZEB240723,Bombus pascuorum,Scrophularia auriculata,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,3.03,33.66665839220234,19.02650175325523,59.06979747852319
BIL240801,Bombus pascuorum,Stachys sylvatica,2024,29/05/2024,"Vía Vieja de Lezama, Bilbao",Urbano,Bizkaia,432.697.136,-29.168.994,117.245,LC; ET,Female,3.85,57.31422968688826,32.34922149740108,99.62289883944214
BIL240804,Bombus pascuorum,Stachys sylvatica,2024,29/05/2024,"Vía Vieja de Lezama, Bilbao",Urbano,Bizkaia,432.697.136,-29.168.994,117.245,LC; ET,Female,3.13,35.54665738518438,20.19519117253794,63.303583137014236
BIL240811,Bombus pascuorum,Stachys sylvatica,2024,29/05/2024,"Vía Vieja de Lezama, Bilbao",Urbano,Bizkaia,432.697.136,-29.168.994,117.245,LC; ET,Female,4.1,65.91505828383995,37.56212040167666,116.71948019802133
BIL240815,Bombus pascuorum,Stachys sylvatica,2024,29/05/2024,"Vía Vieja de Lezama, Bilbao",Urbano,Bizkaia,432.697.136,-29.168.994,117.245,LC; ET,Female,3.89,58.402028169013235,33.085207569530205,102.78522253645575
BIL240816,Bombus pascuorum,Stachys sylvatica,2024,29/05/2024,"Vía Vieja de Lezama, Bilbao",Urbano,Bizkaia,432.697.136,-29.168.994,117.245,LC; ET,Female,4.17,68.25163073127021,38.45079678184406,120.42264297451531
BIL240817,Bombus pascuorum,Stachys sylvatica,2024,29/05/2024,"Vía Vieja de Lezama, Bilbao",Urbano,Bizkaia,432.697.136,-29.168.994,117.245,LC; ET,Female,3.36,42.11644755655675,23.78008234929508,76.58190237036148
BIL240818,Bombus pascuorum,Stachys sylvatica,2024,29/05/2024,"Vía Vieja de Lezama, Bilbao",Urbano,Bizkaia,432.697.136,-29.168.994,117.245,LC; ET,Male,4.67,89.05054320726386,50.0350540175888,158.65023079008512
BIL240819,Bombus pascuorum,Stachys sylvatica,2024,06/06/2024,"Vía Vieja de Lezama, Bilbao",Urbano,Bizkaia,432.697.136,-29.168.994,117.245,LC,Female,2.51,21.816117287576816,12.452110255911409,38.05203935067894
BIL240820,Bombus pascuorum,Stachys sylvatica,2024,06/06/2024,"Vía Vieja de Lezama, Bilbao",Urbano,Bizkaia,432.697.136,-29.168.994,117.245,LC,Female,4.56,84.15823035604073,47.784502778366516,149.0101810796681
BIL240821,Bombus pascuorum,Stachys sylvatica,2024,06/06/2024,"Vía Vieja de Lezama, Bilbao",Urbano,Bizkaia,432.697.136,-29.168.994,117.245,LC,Female,3.58,48.5090697507275,27.815309020628316,85.11637929456597
DON240901,Bombus pascuorum,Trifolium pratense,2024,31/05/2024,"Ametzagaina parkea, Donostia",Urbano,Gipuzkoa,43.305.699,-1.948.854,59.33,JR,Female,3.52,46.96562272592574,27.198501381818723,83.13384989798634
DON240902,Bombus pascuorum,Trifolium pratense,2024,31/05/2024,"Ametzagaina parkea, Donostia",Urbano,Gipuzkoa,43.305.699,-1.948.854,59.33,JR,Female,3.98,60.97534064966674,34.58679033932436,106.71594875917228
DON240903,Bombus pascuorum,Trifolium pratense,2024,31/05/2024,"Ametzagaina parkea, Donostia",Urbano,Gipuzkoa,43.305.699,-1.948.854,59.33,JR,Female,3.73,53.61001183810651,30.38494480963132,94.59557478650039
DON240904,Bombus pascuorum,Trifolium pratense,2024,31/05/2024,"Ametzagaina parkea, Donostia",Urbano,Gipuzkoa,43.305.699,-1.948.854,59.33,JR,Female,4.03,63.390671150408224,36.34145496280356,112.01416060934335
DON240905,Bombus pascuorum,Trifolium pratense,2024,31/05/2024,"Ametzagaina parkea, Donostia",Urbano,Gipuzkoa,43.305.699,-1.948.854,59.33,JR,Female,3.83,56.8578679338002,32.09906458744687,97.5079311394477
DON240906,Bombus pascuorum,Trifolium pratense,2024,31/05/2024,"Ametzagaina parkea, Donostia",Urbano,Gipuzkoa,43.305.699,-1.948.854,59.33,JR,Female,3.75,54.16139107375681,30.807771645578686,95.07886416215462
DON240907,Bombus pascuorum,Trifolium repens,2024,31/05/2024,"Ametzagaina parkea, Donostia",Urbano,Gipuzkoa,43.305.699,-1.948.854,59.33,JR,Female,3.5,46.4737745974761,26.910636931091943,81.53509051115284
DON240908,Bombus pascuorum,Trifolium repens,2024,31/05/2024,"Ametzagaina parkea, Donostia",Urbano,Gipuzkoa,43.305.699,-1.948.854,59.33,JR,Female,3.33,41.20472686447028,23.56141729798105,73.19546182791159
DON240909,Bombus pascuorum,Trifolium repens,2024,31/05/2024,"Ametzagaina parkea, Donostia",Urbano,Gipuzkoa,43.305.699,-1.948.854,59.33,JR,Female,2.9,30.49848807334548,17.41282814238232,53.47238806817024
DON240910,Bombus pascuorum,Ligustrum sp. ,2024,31/05/2024,"Ametzagaina parkea, Donostia",Urbano,Gipuzkoa,43.305.699,-1.948.854,59.33,JR,Female,3.6,48.896616582703224,28.168163533170237,85.36167212343126
ART241001,Bombus pascuorum,Trifolium repens,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.12,35.71209512046914,20.551714357894,62.181880249222175
ART241002,Bombus pascuorum,Trifolium repens,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.78,54.85160288037221,31.513604273616178,96.25591816776239
ART241003,Bombus pascuorum,Trifolium repens,2024,05/06/2024,Artikutza,Natural,Navarra,432.380.388,-18.036.209,6.405.127.266,JP;LC,Female,3.4,42.991425512375336,24.185710884338974,76.33977283178632
