Code;Species;Interaction;Year;Date;Locality;Habitat;Provincias;Latitude;Longitud;Altitude (m);Collectors (leg.);sex;Intertegular_distance (mm)
BPBIL240818M;Bombus pascuorum;Stachys sylvatica;2024;29/5/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";Male;4.67
BPBIL240819;Bombus pascuorum;Stachys sylvatica;2024;6/6/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;LC;Female;2.51
BPBIL240820M;Bombus pascuorum;Stachys sylvatica;2024;6/6/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;LC;Female;4.56
BPBIL240821M;Bombus pascuorum;Stachys sylvatica;2024;6/6/24;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;LC;Female;3.58
BPDON240901;Bombus pascuorum;Trifolium pratense;2024;31/5/24;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43,305699;-1,948854;59,33;JR;Female;3.52
BPDON240902;Bombus pascuorum;Trifolium pratense;2024;31/5/24;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43,305699;-1,948854;59,33;JR;Female;3.98
BPDON240903;Bombus pascuorum;Trifolium pratense;2024;31/5/24;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43,305699;-1,948854;59,33;JR;Female;3.73
BPDON240904;Bombus pascuorum;Trifolium pratense;2024;31/5/24;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43,305699;-1,948854;59,33;JR;Female;4.03
BPDON240905;Bombus pascuorum;Trifolium pratense;2024;31/5/24;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43,305699;-1,948854;59,33;JR;Female;3.83
BPDON240906;Bombus pascuorum;Trifolium pratense;2024;31/5/24;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43,305699;-1,948854;59,33;JR;Female;3.75
BPDON240907;Bombus pascuorum;Trifolium repens;2024;31/5/24;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43,305699;-1,948854;59,33;JR;Female;3.5
BPDON240908;Bombus pascuorum;Trifolium repens;2024;31/5/24;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43,305699;-1,948854;59,33;JR;Female;3.33
BPDON240909;Bombus pascuorum;Trifolium repens;2024;31/5/24;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43,305699;-1,948854;59,33;JR;Female;2.9
BPDON240910;Bombus pascuorum;Ligustrum sp. ;2024;31/5/24;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43,305699;-1,948854;59,33;JR;Female;3.6
BPART241001;Bombus pascuorum;Trifolium repens;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.12
BPART241002;Bombus pascuorum;Trifolium repens;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.78
BPART241003;Bombus pascuorum;Trifolium repens;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.4
BPART241004;Bombus pascuorum;Trifolium repens;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.38
BPART241006;Bombus pascuorum;Pilosella sp.;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;5.64
BPART241007;Bombus pascuorum;Trifolium repens;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.35
BPART241010;Bombus pascuorum;Trifolium repens;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.85
BPART241013;Bombus pascuorum;Ajuga reptans;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.74
BPART241014;Bombus pascuorum;Ajuga reptans;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.95
BPART241016;Bombus pascuorum;Trifolium repens;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.84
BPART241017M;Bombus pascuorum;Trifolium repens;2024;5/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.8
BPART241018;Bombus pascuorum;;2024;6/6/24;Artikutza;Natural;Navarra;43,2380388;-1,8036209;640,5127266;"JP;LC";Female;3.91
BPATZ241101;Bombus pascuorum;Lamium galeobdolon;2024;5/6/24;Asteazu;Agrícola;Gipuzkoa;43,2001451;-2,0989976;176,1103727;"JP;LC";Female;3.59
BPATZ241114;Bombus pascuorum;Anthyllis vulneraria;2024;5/6/24;Asteazu;Agrícola;Gipuzkoa;43,2001451;-2,0989976;176,1103727;"JP;LC";Female;3.63
BPATZ241115;Bombus pascuorum;Lotus corniculatus;2024;5/6/24;Asteazu;Agrícola;Gipuzkoa;43,2001451;-2,0989976;176,1103727;"JP;LC";Female;3.62
BPATZ241116;Bombus pascuorum;Trifolium pratense;2024;5/6/24;Asteazu;Agrícola;Gipuzkoa;43,2001451;-2,0989976;176,1103727;"JP;LC";Female;2.8
BPATZ241117;Bombus pascuorum;Lotus corniculatus;2024;5/6/24;Asteazu;Agrícola;Gipuzkoa;43,2001451;-2,0989976;176,1103727;"JP;LC";Female;4.15
BPATZ241118;Bombus pascuorum;Trifolium pratense;2024;5/6/24;Asteazu;Agrícola;Gipuzkoa;43,2001451;-2,0989976;176,1103727;"JP;LC";Female;3.6
BPATZ241119;Bombus pascuorum;Trifolium pratense;2024;5/6/24;Asteazu;Agrícola;Gipuzkoa;43,2001451;-2,0989976;176,1103727;"JP;LC";Female;3.09
BPATZ241120;Bombus pascuorum;Trifolium pratense;2024;5/6/24;Asteazu;Agrícola;Gipuzkoa;43,2001451;-2,0989976;176,1103727;"JP;LC";Female;4.22
BPATZ241121;Bombus pascuorum;Lotus corniculatus;2024;5/6/24;Asteazu;Agrícola;Gipuzkoa;43,2001451;-2,0989976;176,1103727;"JP;LC";Female;3.96
BPATZ241122;Bombus pascuorum;Lotus corniculatus;2024;5/6/24;Asteazu;Agrícola;Gipuzkoa;43,2001451;-2,0989976;176,1103727;"JP;LC";Female;3.64
BPGOR241401M;Bombus pascuorum;Lamium purpureum;2024;13/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;"JP;LC";Female;5.88
BPGOR241402;Bombus pascuorum;Flying;2024;13/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;"JP;LC";Female;5.53
BPGOR241403;Bombus pascuorum;Vicia pyrenaica;2024;13/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;"JP;LC";Female;5.28
BPGOR241404;Bombus pascuorum;Lamium purpureum;2024;14/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;JP;Female;5.02
BPGOR241405;Bombus pascuorum;Lamium purpureum;2024;14/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;JP;Female;5.88
BPGOR241406M;Bombus pascuorum;Lamium galeobdolon;2024;16/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;LC;Female;5.53
BPGOR241407M;Bombus pascuorum;Lamium purpureum;2024;16/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;LC;Female;5.87
BPGOR241408M;Bombus pascuorum;Lamium purpureum;2024;16/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;LC;Female;5.79
BPGOR241409M;Bombus pascuorum;Scrophularia alpestris;2024;16/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;LC;Female;5.57
BPGOR241410M;Bombus pascuorum;Scrophularia alpestris;2024;16/6/24;Gorbea, Peña Urratxa;Natural;Bizkaia;43,0473871;-2,7966166;1.032,36;LC;Female;5.34
