Code;Species;Interaction;Year;Date;Locality;Habitat;Provincias;Latitude;Longitud;Altitude (m);Collectors (leg.);sex;Intertegular_distance (mm)
ATZ241117;Bombus pascuorum;Lotus corniculatus;2024;05/06/2024;Asteazu;Agrícola;Gipuzkoa;432.001.451;-20.989.976;1.761.103.727;"JP;LC";Female;4.15
ATZ241118;Bombus pascuorum;Trifolium pratense;2024;05/06/2024;Asteazu;Agrícola;Gipuzkoa;432.001.451;-20.989.976;1.761.103.727;"JP;LC";Female;3.6
ATZ241119;Bombus pascuorum;Trifolium pratense;2024;05/06/2024;Asteazu;Agrícola;Gipuzkoa;432.001.451;-20.989.976;1.761.103.727;"JP;LC";Female;3.09
ATZ241120;Bombus pascuorum;Trifolium pratense;2024;05/06/2024;Asteazu;Agrícola;Gipuzkoa;432.001.451;-20.989.976;1.761.103.727;"JP;LC";Female;4.22
ATZ241121;Bombus pascuorum;Lotus corniculatus;2024;05/06/2024;Asteazu;Agrícola;Gipuzkoa;432.001.451;-20.989.976;1.761.103.727;"JP;LC";Female;3.96
ATZ241122;Bombus pascuorum;Lotus corniculatus;2024;05/06/2024;Asteazu;Agrícola;Gipuzkoa;432.001.451;-20.989.976;1.761.103.727;"JP;LC";Female;3.64
GOR241401;Bombus pascuorum;Lamium purpureum;2024;13/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;"JP;LC";Female;5.88
GOR241402;Bombus pascuorum;Flying;2024;13/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;"JP;LC";Female;5.53
GOR241403;Bombus pascuorum;Vicia pyrenaica;2024;13/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;"JP;LC";Female;5.28
GOR241404;Bombus pascuorum;Lamium purpureum;2024;14/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;JP;Female;5.02
GOR241405;Bombus pascuorum;Lamium purpureum;2024;14/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;JP;Female;5.88
GOR241406;Bombus pascuorum;Lamium galeobdolon;2024;16/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;LC;Female;5.53
GOR241407;Bombus pascuorum;Lamium purpureum;2024;16/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;LC;Female;5.87
GOR241408;Bombus pascuorum;Lamium purpureum;2024;16/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;LC;Female;5.79
GOR241409;Bombus pascuorum;Scrophularia alpestris;2024;16/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;LC;Female;5.57
GOR241410;Bombus pascuorum;Scrophularia alpestris;2024;16/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;LC;Female;5.34
GOR241411;Bombus pascuorum;Scrophularia alpestris;2024;16/06/2024;Gorbea, Peña Urratxa;Natural;Bizkaia;430.473.871;-27.966.166;1.032.36;LC;Female;6.17
VAL250101;Bombus pascuorum;Prunella laciniata;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;4.03
VAL250102;Bombus pascuorum;Thymus sp.;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;3.38
VAL250103;Bombus pascuorum;Centaurium littorale;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;3.5
VAL250104;Bombus pascuorum;Centaurium littorale;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;4.17
VAL250105;Bombus pascuorum;Centaurium littorale;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;3.85
VAL250106;Bombus pascuorum;Centaurium littorale;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;4.12
VAL250107;Bombus pascuorum;Centaurium littorale;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;3.91
VAL250108;Bombus pascuorum;Trifolium pratense;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;3.81
VAL250109;Bombus pascuorum;Centaurium littorale;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;3.64
VAL250110;Bombus pascuorum;Centaurium littorale;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;3.68
VAL250111;Bombus pascuorum;Centaurium littorale;2025;26/06/2025;Lahoz, Valderejo, Valdegovía;Natural;Araba;428.877.239;-32.404.513;9.794.815.265;"AM; LC; ET";Female;3.85
